Strain,Stress
0.001249219,87.68674958
0.001249219,88.02052684
0.001249219,88.25592297
0.001249219,88.54556191
0.001342848,88.74494468
0.001342848,89.05302238
0.001342848,89.32042048
0.001342848,89.62347629
0.001342848,89.8073742
0.001342848,90.08015803
0.001342848,90.38149457
0.001342848,90.64634348
0.001342848,90.87241074
0.001436468,91.25041979
0.001374056,91.41841321
0.001342848,91.73845139
0.001342848,91.97555447
0.001342848,92.26014474
0.001342848,92.51366667
0.001342848,92.81172134
0.001342848,93.05619336
0.001342848,93.39604851
0.001342848,93.68855323
0.001342848,93.91635197
0.001342848,94.19499092
0.001342848,94.44330037
0.001342848,94.74376948
0.001342848,94.9560623
0.001342848,95.31834815
0.001342848,95.52354415
0.001342848,95.82054609
0.001405262,96.05930266
0.001436468,96.37635639
0.001436468,96.560306
0.001436468,96.90100416
0.001311639,97.18388247
0.001342848,97.46207143
0.001436468,97.70334676
0.001436468,98.07890071
0.001342848,98.28502676
0.001311639,98.61241717
0.001311639,98.84112321
0.001342848,99.10993597
0.001342848,99.36131579
0.001342848,99.68786224
0.001342848,99.92075921
0.001342848,100.2190199
0.001436468,100.4458715
0.001436468,100.7498209
0.001436468,100.98659
0.001405262,101.3021714
0.001436468,101.5335437
0.001436468,101.8030095
0.001436468,102.0769004
0.001436468,102.408917
0.001436468,102.6242531
0.001436468,102.9685055
0.001436468,103.1911449
0.001436468,103.5287125
0.001436468,103.8008852
0.001467672,104.1028393
0.001436468,104.385993
0.001530079,104.6845783
0.001530079,104.9978488
0.001530079,105.3187182
0.001530079,105.5859265
0.001592481,105.8252273
0.001623681,106.142408
0.001623681,106.4329031
0.001623681,106.7130572
0.001623681,106.9253074
0.001623681,107.3127788
0.001623681,107.5223283
0.001717275,107.8619925
0.001717275,108.1041939
0.001717275,108.4538289
0.001717275,108.7121558
0.001717275,109.0170787
0.001717275,109.2554812
0.001717275,109.621938
0.001748471,109.811479
0.001717275,110.167413
0.001717275,110.4249714
0.001717275,110.7483771
0.001717275,110.9895816
0.001717275,111.3460517
0.001717275,111.5785823
0.001717275,111.987938
0.001717275,112.1844891
0.001717275,112.545556
0.001717275,112.7780319
0.001748471,113.1323501
0.001748471,113.3929625
0.001748471,113.709127
0.001717275,113.9731246
0.001717275,114.3457279
0.001717275,114.5641819
0.001748471,114.9299367
0.001842052,115.1941475
0.001810859,115.5276855
0.001842052,115.7623703
0.001935625,116.1604987
0.001935625,116.418414
0.001935625,116.7181072
0.001935625,117.0032818
0.001935625,117.3350163
0.001935625,117.6336412
0.00202919,117.9454936
0.00202919,118.235412
0.00202919,118.5526707
0.00202919,118.8582687
0.00202919,119.1771829
0.00202919,119.4389475
0.00202919,119.7365539
0.00202919,120.1295526
0.00202919,120.390104
0.002060376,120.6980965
0.00202919,120.9806754
0.002060376,121.3661004
0.00202919,121.6111927
0.00202919,121.6400795
0.00202919,122.2210333
0.00202919,122.6040496
0.00202919,122.8853078
0.00202919,123.2561936
0.00202919,123.5512512
0.00202919,123.9123725
0.00202919,124.1636514
0.002060376,124.4840688
0.00202919,124.7771236
0.00202919,125.1333684
0.002060376,125.3981069
0.00202919,125.7827932
0.002060376,126.1001783
0.00202919,126.5169487
0.002060376,126.8291769
0.00202919,127.1595454
0.00202919,127.5239466
0.002060376,127.8277619
0.002122745,128.1905302
0.002153929,128.5044274
0.002122745,128.905832
0.002153929,129.1296438
